,settlementdate,duid,product,PRICEBAND1,PRICEBAND2,PRICEBAND3,PRICEBAND4,PRICEBAND5,PRICEBAND6,PRICEBAND7,PRICEBAND8,PRICEBAND9,PRICEBAND10,interval_datetime,BANDAVAIL1,BANDAVAIL2,BANDAVAIL3,BANDAVAIL4,BANDAVAIL5,BANDAVAIL6,BANDAVAIL7,BANDAVAIL8,BANDAVAIL9,BANDAVAIL10,MAXAVAIL,rrp,forecasted_rrp,TOTALCLEARED
0,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 04:05:00,560,0,0,0,0,0,30,0,0,0,560,227.97,202.87817,560.0
1,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 04:10:00,560,0,0,0,0,0,30,0,0,0,560,203.83842,224.01937,560.0
2,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 04:15:00,560,0,0,0,0,0,30,0,0,0,560,227.97,207.44262,560.0
3,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 04:20:00,560,0,0,0,0,0,30,0,0,0,560,248.45649,214.67631,560.0
4,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 04:25:00,560,0,0,0,0,0,30,0,0,0,560,290.67131,227.97,560.0
5,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 04:30:00,560,0,0,0,0,0,30,0,0,0,560,249.86042,227.97,560.0
6,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 04:35:00,560,0,0,0,0,0,30,0,0,0,560,172.56961,294.30884,560.0
7,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 04:40:00,560,0,0,0,0,0,30,0,0,0,560,275.81856,195.35852,560.0
8,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 04:45:00,560,0,0,0,0,0,30,0,0,0,560,276.39157,235.29957,560.0
9,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 04:50:00,560,0,0,0,0,0,30,0,0,0,560,276.04186,179.47328,560.0
10,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 04:55:00,560,0,0,0,0,0,30,0,0,0,560,288.94963,198.41691,560.0
11,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 05:00:00,560,0,0,0,0,0,30,0,0,0,560,287.11049,227.97,560.0
12,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 05:05:00,560,0,0,0,0,0,30,0,0,0,560,227.97,203.11012,560.0
13,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 05:10:00,560,0,0,0,0,0,30,0,0,0,560,291.82792,295.91283,560.0
14,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 05:15:00,560,0,0,0,0,0,30,0,0,0,560,257.44406,332.95803,560.0
15,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 05:20:00,560,0,0,0,0,0,30,0,0,0,560,348.17,362.86379,560.0
16,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 05:25:00,560,0,0,0,0,0,30,0,0,0,560,221.5292,280.53863,560.0
17,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 05:30:00,560,0,0,0,0,0,30,0,0,0,560,281.94554,224.14911,560.0
18,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 05:35:00,560,0,0,0,0,0,30,0,0,0,560,334.44836,227.97,560.0
19,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 05:40:00,560,0,0,0,0,0,30,0,0,0,560,217.44248,216.09231,560.0
20,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 05:45:00,560,0,0,0,0,0,30,0,0,0,560,214.16305,225.1126,560.0
21,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 05:50:00,560,0,0,0,0,0,30,0,0,0,560,223.76885,223.8889,560.0
22,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 05:55:00,560,0,0,0,0,0,30,0,0,0,560,222.27737,284.87615,560.0
23,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 06:00:00,560,0,0,0,0,0,30,0,0,0,560,250.41356,297.61545,560.0
24,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 06:05:00,560,0,0,0,0,0,30,0,0,0,560,257.18506,285.17409,560.0
25,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 06:10:00,560,0,0,0,0,0,30,0,0,0,560,317.78921,292.09503,560.0
26,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 06:15:00,560,0,0,0,0,0,30,0,0,0,560,322.51255,299.92832,560.0
27,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 06:20:00,560,0,0,0,0,0,30,0,0,0,560,327.92808,304.59291,560.0
28,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 06:25:00,560,0,0,0,0,0,30,0,0,0,560,332.4349,323.2664,560.0
29,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 06:30:00,560,0,0,0,0,0,30,0,0,0,560,337.66521,418.82102,560.0
30,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 06:35:00,560,0,0,0,0,0,30,0,0,0,560,335.93466,361.19,560.0
31,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 06:40:00,560,0,0,0,0,0,30,0,0,0,560,400.27586,515.49264,560.0
32,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 06:45:00,560,0,0,0,0,0,30,0,0,0,560,501.33571,566.85771,560.0
33,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 06:50:00,560,0,0,0,0,0,30,0,0,0,560,544.92901,447.89,560.0
34,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 06:55:00,560,0,0,0,0,0,30,0,0,0,560,541.22513,496.0026,560.0
35,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 07:00:00,560,0,0,0,0,0,30,0,0,0,560,904.05999,609.11755,560.0
36,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 07:05:00,560,0,0,0,0,0,30,0,0,0,560,528.8661,970.57042,560.0
37,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 07:10:00,560,0,0,0,0,0,30,0,0,0,560,900.0,983.96,560.0
38,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 07:15:00,560,0,0,0,0,0,30,0,0,0,560,1065.6611,1110.11,560.0
39,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 07:20:00,560,0,0,0,0,0,30,0,0,0,560,1109.22183,2326.09132,560.0
40,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 07:25:00,560,0,0,0,0,0,30,0,0,0,560,3700.12,4245.67895,560.0
41,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 07:30:00,560,0,0,0,0,0,30,0,0,0,560,3700.12,10851.96564,560.0
42,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 07:35:00,560,0,0,0,0,0,30,0,0,0,560,1297.89,3898.0,560.0
43,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 07:40:00,560,0,0,0,0,0,30,0,0,0,560,1435.57263,3898.0,560.0
44,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 07:45:00,560,0,0,0,0,0,30,0,0,0,560,1112.11,4119.56208,560.0
45,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 07:50:00,560,0,0,0,0,0,30,0,0,0,560,1051.84821,9540.45544,560.0
46,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 07:55:00,560,0,0,0,0,0,30,0,0,0,560,1045.0457,1110.11,560.0
47,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 08:00:00,560,0,0,0,0,0,30,0,0,0,560,983.96,1110.11,560.0
48,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 08:05:00,560,0,0,0,0,0,30,0,0,0,560,406.48,983.96,560.0
49,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 08:10:00,560,0,0,0,0,0,30,0,0,0,560,588.37396,983.96,560.0
50,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 08:15:00,560,0,0,0,0,0,30,0,0,0,560,901.73,1028.42889,560.0
51,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 08:20:00,560,0,0,0,0,0,30,0,0,0,560,892.16685,406.48,560.0
52,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 08:25:00,560,0,0,0,0,0,30,0,0,0,560,406.48,938.43108,560.0
53,2025-06-26,LYA3,ENERGY,-980.9,-63.76,8.78,18.82,35.26,78.21,117.32,161.85,490.45,17165.75,2025-06-26 08:30:00,560,0,0,0,0,0,30,0,0,0,560,835.31841,406.48,560.0
